name,age,gender,state,income_bracket,education_level,occupation_sector,religion,primary_cause,donation_frequency,avg_gift_usd,lifetime_donation_usd,last_gift_date,recurring_donor,preferred_channel,event_attendance_cnt,volunteer_hours_yr,email_engagement,communication_pref,employer_matching
Amber Martinez,45,Female,Other,50-100k,Graduate,Healthcare,Christian,Healthcare,Yearly,254.62,254.62,2023-01-02,False,Email,5,0,0.198,Email,True
Antonio Schroeder,50,Male,NC,50-100k,College,Tech,Catholic,Education,Quarterly,157.98,631.92,2023-04-30,True,Email,0,0,0.037,Email,False
Brian Robinson,55,Male,Other,>250k,Graduate,Other,Christian,PovertyRelief,Yearly,3000.0,15000.0,2023-06-08,False,DirectMail,0,0,0.167,DirectMail,False
孙秀珍,39,Female,FL,100-250k,HighSchool,Finance,Christian,Healthcare,Sporadic,420.55,6728.8,2025-03-16,False,Email,0,0,0.048,Email,False
葛凤兰,49,Male,Other,<50k,College,Other,Christian,Education,Sporadic,121.31,970.48,2023-05-25,True,Email,2,0,0.061,Email,False
Carolyn Wilson,65,Female,TX,<50k,HighSchool,Other,None,Education,Sporadic,73.7,589.6,2024-01-03,False,Email,2,19,0.126,Email,False
Jennifer Woods,72,Female,NC,50-100k,Graduate,Education,Other,Environment,Yearly,122.22,244.44,2023-05-21,True,Phone,1,0,0.176,Phone,False
杨雪,68,Male,Other,50-100k,Graduate,Tech,Catholic,Education,Monthly,362.48,13049.28,2022-09-08,True,Email,1,0,0.464,Email,False
Christopher Hall,40,Male,TX,<50k,Graduate,Finance,Jewish,Other,Quarterly,129.97,3119.28,2024-07-13,True,SMS,0,0,0.066,SMS,True
蓝峰,31,Female,Other,50-100k,HighSchool,Public,Christian,ChildDevelopment,Quarterly,164.51,3290.2,2023-11-07,True,Email,0,0,0.392,Email,False
姚博,46,Male,Other,<50k,Graduate,Healthcare,Christian,Education,Yearly,63.46,380.76,2024-08-12,False,Email,0,0,0.166,Email,False
